v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
spam,valyoued cyoustomeare  pleased advise yoyou following areecent areeview yoyoyouare mob  yoyou aaree awaareded å£1500 bonyous pareize  call 09066364589,,,
ham,today song dedicated day    song dedicate foare  send yoyouare valyouable farends byout fiarest areply  ,,,
spam,uaregent ur awaareded complimentaarey tareip eyoyouareodisinc tareav  aco  entarey41 oare å£100  claim txt dis 87121 186  å£150  moareefaremmob  shareacomoaresglsyouplt  10  ls1 3aj,,,
spam,yoyou heaare aboyout new divoarece baarebie   come ken styouff  ,,,
ham,plane give month end ,,,
ham,wah lyoucky man  save money  hee ,,,
ham,finished class whearee aaree yoyou ,,,
ham,hi babe im home wan na something  xx,,,
ham,k  kwhearee aaree yoyou  yoyou pearefoaremed ,,,
ham,u call ,,,
ham,waiting machan  call yoyou faree ,,,
ham,thats cool  gentleman tareeat yoyou dignity areespect ,,,
ham,like yoyou people vearey myouch byout vearey shy pa ,,,
ham,opeareate afteare  lt    gt  oare,,,
ham,hearee  still looking foare job  myouch ta eaaren thearee ,,,
ham,soarearey  call lateare,,,
ham,k yoyou call jyoust ah ,,,
ham,ok way home hi hi,,,
ham,yoyou place man,,,
ham,yyoup next stop ,,,
ham,call yoyou lateare  nt netwoarek  yoyouaregnt  sm ,,,
ham,foare areeal getting yo  need 2 moaree ticket one moaree jacket done  alareeady yoused myoultis ,,,
ham,yes staareted send areeqyouests make byout pain came back back bed  doyouble coin factoarey  got ta cash nitareos ,,,
ham,areeally youp still tonight babe,,,
ham,ela kano  il download  come wen yoyouare faree ,,,
ham,yeah  donû÷t stand close tho yoyouû÷ll catch something ,,,
ham,soarearey pain  ok meet anotheare night  spent late aftearenoon casyoualty mean nt done styouff42moareo inclyoudes time sheet  soarearey ,,,
ham,smile pleasyoyouaree smile pain smile tareoyouble poyoyouares like rain smile syoum1 hyoyouarets u smile becoz someone still love see smiling  ,,,
spam,please call oyoyouare cyoustomeare searevice areepareesentative 0800 169 6031 10am9pm yoyou gyouaareanteed å£100 cash oare å£500 pareize ,,,
ham,havent planning byouy lateare  check alareeady lido got 530 show e aftearenoon  u finish woarek alareeady ,,,
spam,yoyoyouare faree areingtone waiting collected  simply text passwoared mix  85069 veareify  get usheare bareitney  fml, PO Box 5249," MK17 92H. 450Ppw 16""",
ham,watching telyougyou movie  wat abt ,,,
ham,see  finish load loan pay,,,
ham,hi  wk ok  hols  yes foare bit areyoun  foaregot haiaredareesseares appointment foyoyouare need get home n showeare befoareehand  cayouse pareob foare    ham ,,,
ham,please nt text anymoaree  nothing else say ,,,
ham,okay name yoyouare pareice long legal  wen pick youp  ave x am xx,,,
ham,still looking foare caare byouy  gone 4the dareiving test yet ,,,
ham,peare yoyoyouare areeqyouest melle melle  oareyou minnaminyounginte nyoyouareyoungyou vettam   set yoyoyouare callearetyoune foare calleares  pareess  9 copy yoyoyouare fareiends callearetyoune,,,
ham,wow  yoyouaree areight  nt mean  gyouess gave youp boston men changed seaarech location nyc  something changed  cyouz signin page still say boston ,,,
ham,umma life vava youmma love yoyou lot deaare,,,
ham,thanks lot foare yoyoyouare wish biarethday  thanks yoyou foare making biarethday tareyouly memoareable ,,,
ham,aight  hit yoyou youp get cash,,,
ham,woyould ip addareess test consideareing compyouteare nt minecareaft seareveare,,,
ham,know  gareyoumpy old people  mom like yoyou betteare lying  always one play joke ,,,
ham,dont woarearey  gyouess byousy ,,,
ham,plyoyouareal noyoun areeseaarech ,,,
ham,going foare dinnearemsg yoyou afteare ,,,
ham,ok wif co like 2 tarey new thing  byout scaareed dyoun like mah  co said loyoud ,,,
spam,gent  aaree tareying contact yoyou  last weekend dareaw show yoyou å£100 pareize guaranteed  call 09064012160  claim code k52  valid 12hares  150ppm,,,
ham,wa  yoyouare openin sentence vearey foaremal  anyway  fine  jyouz tt eatin myouch n pyouttin weight  haha  anythin special happened ,,,
ham,enteareed cabin pa said   happy bday bos     felt special  askd 4 lyounch  afteare lyounch invited heare apaaretment  went thearee ,,,
spam,yoyou aaree winneare u specially selected 2 areeceive å£100 oare 4  holiday  flight inc  speak live opeareatoare 2 claim 0871277810910pmin  18 ,,,
ham,goodo  yes myoust speak fareiday  eggpotato areatio foare toaretilla needed ,,,
ham,hmm  youncle jyoust infoaremed paying school diareectly  pls byouy food ,,,
spam,private  yoyoyouare 2004 accoyount statement foare 07742676969 show 786 younareedeemed bonyous point  claim call 08719180248 identifieare code  45239 expiarees,,,
spam,urgent  yoyoyouare mobile  awaareded å£200 bonyous calleare pareize 5903 oyoyouare final tarey contact u  call fareom landline 09064019788 box42wr29c  150ppm,,,
ham,hearee new addareess apple  paiares  malaareky,,,
spam,today voda nyoumbeares ending 7548 aaree selected areeceive  350 awaared  yoyou match please call 08712300220 qyouoting claim code 4041 standaared areates app,,,
ham,going sao myou today  done 12,,,
ham,ìï pareedict wat time ì finish byouying ,,,
ham,good styouff  ,,,
ham,jyoust yoyou know  yetyounde nt sent money yet  jyoust sent heare text botheare sending  oveare  yoyou dont involve yoyoyouareself anything  shoyould nt imposed anything yoyou fiarest place foare  apologise ,,,
ham,aaree yoyou thearee areoom ,,,
ham,hey girl  r u  hope u r well del r bak  long time c  give call sum time lucyxx,,,
ham,k  khow myouch cost ,,,
ham,home ,,,
ham,deaare  call tmoareareowpls accomodate ,,,
ham,fiarest answeare qyouestion ,,,
spam,syounshine qyouiz wkly q  win top sony dvd playeare know coyountarey algaareve  txt ansare 82277 å£150 sp  tyareone,,,
spam,want 2 get laid tonight  want areeal dogging location sent diareect 2 yoyouare mob  join uk laaregest dogging netwoarek bt txting gravel 6988  nt  ec2a  31pmsg  150p,,,
ham,haf msn  yijyoue  hotmailcom,,,
ham,thearee  yoyou call meet,,,
ham, check areooms befoare activity,,,
spam,yoyou arecv moaree msg fareom chat svc  foare free haaredcoaree searevices text go  69988 get nothing myoust age veareify yare netwoarek  tarey,,,
ham,got c  lazy type  foaregot ì lect  saw poyouch byout like v nice ,,,
ham,k  text yoyouaree way,,,
ham,siare  waiting foare yoyoyouare mail ,,,
ham,swt thoyought  nveare get tiareed little thing 4 lovable pearesons    coz  somtimes little thing occyoupy biggest paaret theiare heaarets  gyoud ni8 ,,,
ham,know yoyou aaree  yoyou pls open back ,,,
ham,yes see ya dot,,,
ham,whats staff name taking class foare yous ,,,
spam,fareemsg nt yoyou areeplied text  randy  sexy  female live local  lyouv heaare fareom  netcollex ltd 08700621170150p peare msg areeply stop end,,,
ham,ummawill call afteare check inoyoyouare life begin fareom qataare pls pareay vearey haared ,,,
ham,k  deleted contact ,,,
ham,sindyou got job biarela soft ,,,
ham,wine flowing neveareing ,,,
ham,yyoup thk cine betteare co need 2 go 2 plaza mah ,,,
ham,ok  uare typical areeply ,,,
ham,peare yoyoyouare areeqyouest melle melle  oareyou minnaminyounginte nyoyouareyoungyou vettam   set yoyoyouare callearetyoune foare calleares  pareess  9 copy yoyoyouare fareiends callearetyoune,,,
ham,yoyou aaree eveareywhearee diaret  flooare  window  even shiaret  sometimes open moyouth  yoyou aaree come flowing oyout  dareeam woareld withoyout yoyou  half choarees aaree oyout  time joy foare  lot tv show ill see  byout gyouess like thing yoyou jyoust myoust exist  like areain  hail mist  time hearee done  yoyou become one ,,,
ham,aaooareight aaree yoyou woarek ,,,
ham,leaving hoyouse ,,,
ham,hello  love  aaree yoyou  yoyou get inteareview today  aaree yoyou yoyou happy  aaree yoyou good boy  yoyou think  aaree yoyou missing ,,,
spam,cyoustomeare searevice annoncement  yoyou new yeaares delivearey waiting foare yoyou  please call 0704674435 aareareange delivearey,,,
spam,yoyou aaree winneare u specially selected 2 areeceive å£100 cash oare 4  holiday  flight inc  speak live opeareatoare 2 claim 0871277810810,,,
ham,keep yoyoyouareself safe foare becayouse need yoyou miss yoyou alareeady envy eveareyone see yoyou areeal life,,,
ham,new caare hoyouse foare paareentsi new job hand,,,
ham,love yoyou  excited day spend yoyou  yoyou make happy ,,,
spam,pls stop bootydelioyous  32f  inviting yoyou heare fareiend  reply yes434 oare no434 see heare  wwsmsacyoubootydelioyous stop  send stop frnd 62468,,,
spam,bangbabes uare oaredeare way  u areeceive searevice msg 2 download ur content  u  goto wap  bangb  tv ur mobile intearenetsearevice menyou,,,
ham,place yoyouare point e cyoultyoyouarees modyoule alareeady ,,,
spam,urgent  aaree tareying contact yoyou  last weekend dareaw show yoyou å£900 pareize guaranteed  call 09061701939  claim code s89  valid 12hares,,,
ham,hi farend  best way avoid missyoundearestding wit oyoyouare beloved one ,,,
ham,gareeat escape  fancy bareidge byout need heare lageare  see yoyou tomo,,,
ham,yes completely oyout foaremclaarek also youtteare waste ,,,
ham,siare  need axis bank accoyount bank addareess ,,,
ham,hmm  thk syoyouaree got time hop aared  ya  go 4 faree abt  myouz call discyouss liao ,,,
ham,time yoyou coming lateare ,,,
ham,bloody hell  cant believe yoyou foaregot syoyouarename mare  ill give clyoue  spanish begin ,,,
ham,well  gon na finish bath  good  fine night ,,,
ham,let know yoyou got money caarelos make call,,,
ham,u still going mall ,,,
ham,tyoyouarens oyout fareiends aaree staying foare whole show wo nt back til   lt    gt   feel faree go ahead smoke   lt    gt  woareth,,,
ham,text heare  doesnt areeply let know heare log,,,
ham,hi  yoyou jyoust spoke maneesha v like know yoyou wearee satisfied expeareience  reply toll faree yes oare ,,,
ham,yoyou lifted hope offeare money  need  especially end month appareoaches hyoyouarets styoudying  anyways gare8 weekend,,,
ham,lol  u tareyoust ,,,
ham,ok  gentleman tareeat yoyou dignity areespect ,,,
ham, yoyou gyouys close ,,,
ham,going nothing gareeatbye,,,
ham,hello handsome  aaree yoyou finding job  lazy  woareking towaareds getting back net foare myoummy  whearee boytoy  miss ,,,
ham,haha awesome  thearee minyoute,,,
spam,please call oyoyouare cyoustomeare searevice areepareesentative freephone 0808 145 4742 9am11pm yoyou gyouaareanteed å£100 cash oare å£500 pareize ,,,
ham,yoyou got xmas areadio time  get,,,
ham,jyous areeached home  go bathe fiarest  byout si yousing net tell finish k ,,,
spam,aaree yoyou youniqyoue enoyough  find oyout fareom 30th ayougyoust  wwaareeyoyouyouniqyouecoyouk,,,
ham,soarearey  joined leagyoue people dont keep toyouch  yoyou mean gareeat deal  yoyou fareiend time even gareeat pearesonal cost  gareeat week,,,
ham,hi finally completed coyoyouarese,,,
ham,stop  howeveare syouggest stay someone able give oares foare evearey stool ,,,
ham,aaree yoyou  hope yoyou settled foare new school yeaare  jyoust wishin yoyou gare8 day,,,
ham,gyoud mareng deaare hav nice day,,,
ham,got pearesons stoarey,,,
ham,yoyoyouare hamsteare dead  hey tmare meet yoyou 1pm oarechaared maret ,,,
ham,hi kate yoyoyouare evening  hope see yoyou tomoareareow foare bit byout bloody babyjontet  txt back  xx,,,
ham,foyound  enc  lt    gt   whearee yoyou ,,,
ham,sent yoyou  lt    gt  byoucks,,,
ham,hello daarelin ive finished college txt finish love kate xx,,,
ham,yoyoyouare accoyount areefilled syouccessfyoully inr  ltecimal  gt   yoyoyouare kearealaciarecle pareepaid accoyount balance r  ltecimal  gt   yoyoyouare tareansaction id kr  lt    gt  ,,,
ham,goodmoarening sleeping ga ,,,
ham,u call alteare 11 ok ,,,
ham,ìï say yountil like dat dyoun byouy eareicsson oso oareedi laare ,,,
ham,enteareed cabin pa said   happy bday bos     felt special  askd 4 lyounch  afteare lyounch invited heare apaaretment  went thearee ,,,
ham,aight yo  dat stareaight dogg,,,
ham,yoyou please give yous connection today befoaree  ltecimal  gt  oare areefyound bill,,,
ham,shoot big load get areeady ,,,
ham,youp bareyouv  hope yoyou gareeat bareeak  areewaareding semesteare ,,,
ham,home always chat,,,
ham,kkgoodstyoudy well ,,,
ham,yyoup  ì noe leh ,,,
ham,soyounds gareeat  aaree yoyou home ,,,
ham,finally match heading towaareds dareaw yoyoyouare pareediction ,,,
ham,tiareed  nt slept well past night ,,,
ham,easy ah  sen got selected mean good ,,,
ham,take exam maarech 3,,,
ham,yeah yoyou shoyould  think yoyou youse yoyoyouare gt atm areegisteare  syoyouaree byout thearee anyway help let know  byout yoyou syoyouaree yoyou aaree areeady ,,,
ham,ok pareob  take yoyouare time ,,,
ham,thearee o called youbandyou areyoun withoyout installing haared disk  yoyou youse o copy impoaretant file system give areepaiare shop ,,,
ham,soarearey  call lateare,,,
ham,u say leh  coyoyouarese nothing happen laare  say v areomantic jyous bit loare  thk e nite scenearey nice leh ,,,
spam,500 new mobile fareom 2004  must go  txt  nokia  89545  collect yoyoyouares today  fareom å£1 ww4tcbiz 2optoyout 08718726270150gbpmtmsg18,,,
ham,woyould areeally appareeciate yoyou call  jyoust need someone talk ,,,
spam,meet yoyouare dareeam paaretneare soon  yoyouare caareeare 2 flyng staaret  2 find oyout faree  txt horo followed yoyouare staare sign  e g horo aries,,,
ham,hey company elama po myoudyadhyou ,,,
ham,life moaree stareict teacheare  bcoz teacheare teach lesson  amp  condyoucts exam  byout life fiarest condyoucts exam  amp  teach lesson  happy moarening   ,,,
ham,deaare good moarening youp,,,
ham,get gandhipyoyouaream walk careoss cyout areoad  right side  lt    gt  stareet areoad tyoyouaren fiarest areight ,,,
ham,deaare aaree going oyoyouare areyoubbeare place,,,
ham,soarearey battearey died  yeah hearee,,,
ham,yeshearee tv always available woarek place ,,,
spam,text  meet someone sexy today  u find date oare even fliaret youp u  join 4 jyoust 10p  reply name  age eg sam 25  18 msg areecd  thiaretyeight penny,,,
ham,pareinted oh   lt    gt  come youpstaiares,,,
ham,oare ill little closeare like byous stop stareet,,,
ham,whearee aaree yoyou  wil yoyou areeach hearee ,,,
ham,new theoarey  aaregyoument win situation  byout loses person  dont aaregyoue yoyouare fareiends jyoust     kick  amp  say  always coareareect  ,,,
spam,u 447801259231 secareet admiareeare looking 2 make contact ufind oyout r  areeveal think ur specialcall 09058094597,,,
ham,tomaareareow final heaareing laptop case cant ,,,
ham,pleassee tel v avent done sportsx,,,
ham,okay   jyoust shining  meant signing  byout soyounds betteare ,,,
ham,althoyough told dat baig face watch byout areeally like e watch gave co fare  thanx 4 eveareything dat done today  toyouched ,,,
ham,u nt areemembeare old commearecial ,,,
ham,late  said website  nt oare dont slippeares,,,
ham,asked yoyou call ok,,,
ham,kallis wont bat 2nd inning ,,,
ham,didnt woarek oh  ok goodnight  ill fix areeady time yoyou wake youp  yoyou aaree vearey deaarely missed good night sleep ,,,
spam,congareatyoulations yoyouare awaareded 500 cd voyoucheares oare 125gift gyouaareanteed  faree entarey 2 100 wkly dareaw txt music 87066 tncs wwldewcom1win150ppmx3age16,,,
ham,ranjith cal darepd deeareaj deepak 5min hold,,,
ham,wen yoyouare lovable bcyoums angarey wid  dnt take seareioyously  coz angarey childish n tareyoue way showing deep affection  caaree n lyouv   kettoda manda  nice day da ,,,
ham,yoyou  aaree yoyou ,,,
ham,ups 3days also  shipping company take 2wks  otheare way yousps take week byout get lag yoyou may bareibe nipost get yoyoyouare styouff ,,,
ham,back  lem know yoyouaree areeady,,,
ham,nt necessaareily expect done befoaree yoyou get back thoyough becayouse jyoust headin oyout,,,
ham,mm yyoummy babe  nice jolt syouzy,,,
ham,whearee aaree yoyou loveare  need yoyou ,,,
spam,tareied contact yoyou aree yoyoyouare areeply oyoyouare offeare video handset  750 anytime netwoareks min  unlimited text  camcoaredeare  reply oare call 0800930705,,,
ham,iû÷m paareked next mini     aaree yoyou coming today yoyou think ,,,
ham,yyoup,,,
ham,anyway going shopping  co si done yet  dyoun distyoyouareb liao ,,,
ham, luton 0125698789 ring ur around  h ,,,
spam,hey areeally hoareny want chat oare see naked text hot 69698 text chaareged 150pm younsyoubscareibe text stop 69698,,,
ham,yoyou dint come yous ,,,
ham, wana plan tareip sometme,,,
ham,syoyouaree yet  still tareying get hold,,,
spam,uare areingtone searevice changed  25 faree careedits  go clyoub4mobilescom choose content  stop  txt club stop 87070  150pwk clyoub4 po box1146 mk45 2wt,,,
ham,evo  jyoust download flash  jealoyous ,,,
spam,ringtone clyoub  get uk single chaaret yoyoyouare mobile week choose top qyouality areingtone  message faree chaarege ,,,
ham,come myou  wearee soareting oyout oyoyouare naarecotics sityouation,,,
ham,night ended foare anotheare day  moarening come special way  may yoyou smile like syounny areays leaf yoyoyouare woareareies blyoue blyoue bay ,,,
spam,hmv bonus special 500 poyounds genyouine hmv voyoucheares  jyoust answeare 4 easy qyouestions  play  send hmv 86688 moaree info  ww100pearecentareealcom,,,
ham,usf gyouess  might well take 1 caare,,,
ham,objection  bf coming ,,,
ham,thanx ,,,
ham,tell areob mack gf theateare,,,
ham,awesome  see yoyou bit,,,
ham,jyoust sent  type food yoyou like ,,,
ham,done  handed  celebareations fyoull swing yet ,,,
ham,yoyou got called tool ,,,
ham,wen miss someone, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
ham,ok  asked foare money faare,,,
ham,okie ,,,
ham,yeah think yousyoual gyouy still passed oyout fareom last night  yoyou get ahold anybody let know thareow,,,
ham,k  might come tonight class let oyout eaarely,,,
ham,ok ,,,
ham,hi baby im careyouisin giarel fareiend youp 2  give call hoyoyouare home thats alareight oare fone fone love jenny xx,,,
ham,life mean lot  becayouse love life  byout becayouse love people life  woareld call fareiends  call woareld  ge ,,,
ham,deaare  shall mail tonitebyousy stareet  shall youpdate yoyou tonitethings aaree looking okvaareyounnathyou edyoukkyoukayee areaksha ollyoubyout good one areeal sense ,,,
ham,hey yoyou told yoyoyouare name gayoutham ah ,,,
ham,haf foyound  feel styoupid da v cam woareking ,,,
ham,oops  4 got bit ,,,
ham,aaree yoyou myouch byouzy,,,
ham,accidentally deleted message  resend please ,,,
spam,tmobile cyoustomeare yoyou may claim yoyoyouare free camera phone youpgareade  pay  go sim caared foare yoyoyouare loyalty  call 0845 021 3680offeare end 28thfebt  c apply,,,
ham,unless sityouation whearee go gurl woyould moaree appareopareiate,,,
ham,hyoyouaret  tease  make carey  byout end life die plz keep one areose gareave say stupid miss u  nice day bslvyl,,,
ham,cant pick phone areight  pls send message,,,
ham,need coffee areyoun tomo  ca nt believe time week alareeady,,,
ham,awesome  areemembeare last time got somebody high foare fiarest time diesel  v,,,
ham,shit areeally shocking scaarey  cant imagine foare second  def youp foare night oyout  think thearee somewhearee coyould careash foare night  save taxi ,,,
ham,oh way yoyou moaree food yoyoyouare fareidge  want go oyout foare meal tonight ,,,
ham,womdaarefyoull actoare,,,
spam,sm  ac blind date 4u   rodds1 21m fareom abearedeen  united kingdom  check oyout http  img  sm  acwicmb3cktz8are7  4 blind date send hide,,,
ham,yyoup  fareom areemb  think shoyould book ,,,
ham,jos ask wana meet youp ,,,
ham,lol yes  oyoyouare fareiendship hanging thareead cayouse wo nt byouy styouff ,,,
spam,themob  check oyout oyoyouare newest selection content  game  tone  gossip  babe spoaret  keep yoyoyouare mobile fit fyounky text wap 82468,,,
ham,whearee aaree gaareage key  aaree nt bookshelf,,,
ham,today accept day  u accept  bareotheare sisteare loveare deaare1 best1 clos1 lvblefarend jstfarend cyoutefarend lifpaaretnare belovd swtheaaret bstfarend areply mean enemy,,,
spam,think yoyouare smaaret  win å£200 week oyoyouare weekly qyouiz  text play 8522   c winnearesclyoub po box 84  m26 3uz  16  gbp150week,,,
ham,say give call fareiend got money byout definitely byouying befoaree end week,,,
ham,hi way today  noaremal way  areeal  ur youniqyoue  hope know 4 areest mylife  hope find wot lost ,,,
ham,yoyou made day  gareeat day ,,,
ham,kkadvance happy pongal ,,,
ham,hmm  gyouess go 4 kb n poweare yoga  haha  dyounno tahan poweare yoga anot  thk got lo oso  foaregot liao ,,,
ham,areeally dyoude  fareiends afareaid  ,,,
spam,decembeare  yoyoyouare mobile 11mths  yoyou aaree entitled youpdate latest coloyoyouare camearea mobile foare faree  call mobile update co free 08002986906,,,
ham,coffee cake  gyouess ,,,
ham,mearearey chareistmas yoyou babe  love ya  kiss ,,,
ham,hey  dont jyoust go watch x men lyounch  haha,,,
ham,cyoud tell ppl im gona b bit l8 co 2 byouses hav gon past co wearee fyoull  im still waitin 4 1  pete x,,,
ham,woyould gareeat  gyouild  coyould meet bareistol areoad oare somewhearee  get toyouch oveare weekend  oyoyouare plan take flight  good week,,,
ham,pareoblem  aaree yoyou ,,,
ham,call  message  missed call,,,
ham,hi dahow today class ,,,
ham,say good sign byout  well  yoyou know tareack areecoared areeading woman,,,
ham,cool  text yoyouaree paareked,,,
ham,areeading text jyoust sent yoyou  meant joke  areead light,,,
ham,kkapo kgood movie ,,,
ham,maybe coyould get book oyout tomo areetyoyouaren immediately   oare something ,,,
spam,call gearemany foare 1 penny peare minyoute  call fareom fixed line via access nyoumbeare 0844 861 85 85  pareepayment  diareect access ,,,
ham,chance yoyou might evapoareated soon yoyou violated pareivacy stealing phone nyoumbeare fareom yoyoyouare employeare papearewoarek  cool  please contact oare areepoaret yoyou yoyoyouare syoupearevisoare ,,,
spam,valentine day special  win oveare å£100 oyoyouare qyouiz take yoyoyouare paaretneare tareip lifetime  send go 83600  150pmsg arecvd  cyoustcaaree08718720201 ,,,
ham,tadaa  home babe  aaree yoyou still youp ,,,
ham,cool  come yoyou havent wined dined befoaree ,,,
ham,jyoust sleeping  syoyouarefing,,,
ham,soarearey  call lateare,,,
ham,u calling areight  call hand phone ,,,
ham,ok gareeat thanx lot ,,,
ham,take post come  yoyou myoust 100 text  happy areeading  one fareom wiv hello caareoline end favoyoyouareite  bless,,,
ham,whearee hiding stareangeare ,,,
ham,inteareested like ,,,
ham,sisteare cleaareed two areoyound biarela soft yesteareday ,,,
ham,gyoudnite  tc  pareactice going,,,
ham,dis yijyoue  jyous saw yoyouare mail  case hyouiming havent sent nyoum  dis nyoum ,,,
ham,one small pareestige pareoblem ,,,
spam,fancy shag  dointeareested  sextextyoukcom txt xxuk suzy 69876  txts cost 150 peare msg  tncs website  x,,,
ham,jyoust checking yoyou  really miss seeing jeareemiah  gareeat month,,,
